#year,month,day,julian_day,aot1020
2009,5,1,121,0.0319475000
2009,5,2,122,0.1102160000
2009,5,3,123,0.2152665000
2009,5,4,124,0.1525275000
2009,5,11,131,0.0633666667
2009,5,13,133,0.0686433333
2009,5,14,134,0.1491850000
2009,5,15,135,0.0905856000
2009,5,20,140,0.1272530000
2009,5,21,141,0.0960200000
2009,5,24,144,0.1109172857
2009,5,25,145,0.1097081667
2009,5,26,146,0.2674400000
2009,5,27,147,0.3352137500
2009,5,28,148,0.3274754286
2009,5,31,151,0.0480290000
2009,6,1,152,0.1009851429
2009,6,3,154,0.1056350000
2009,6,4,155,0.0508410000
2009,6,5,156,0.0505903750
2009,6,6,157,0.1408780000
2009,6,7,158,0.3178103333
2009,6,8,159,0.3649851250
2009,6,9,160,0.2682557500
2009,6,10,161,0.1480286667
2009,6,12,163,0.0992165556
2009,6,13,164,0.2373038333
2009,6,14,165,0.1730970000
2009,6,15,166,0.2338790000
2009,6,17,168,0.1986165000
2009,6,19,170,0.1280432000
2009,6,20,171,0.0864356667
2009,6,22,173,0.0699032500
2009,6,25,176,0.5157012000
2009,6,26,177,0.6395982857
2009,6,27,178,0.3891520000
2009,6,28,179,0.3917190000
2009,6,29,180,0.1838221667
2009,6,30,181,0.0591481667
2009,7,1,182,0.1246564286
2009,7,2,183,0.3712250000
2009,7,3,184,0.1503180000
2009,7,6,187,0.4943580000
2009,7,7,188,0.0962540000
2009,7,8,189,0.0692222500
2009,7,9,190,0.1466357143
2009,7,10,191,0.3445962500
2009,7,11,192,0.2224966667
2009,7,12,193,0.0573392500
2009,7,13,194,0.2718722500
2009,7,16,197,0.0721470000
2009,7,17,198,0.1596393333
2009,7,20,201,0.2494806667
2009,7,22,203,0.5127400000
2009,7,23,204,0.4508400000
2009,7,24,205,0.3867030000
2009,7,25,206,0.2348057500
2009,7,26,207,0.1503693333
2009,7,27,208,0.4541880000
2009,7,28,209,0.1998145000
2009,7,29,210,0.1688140000
2009,7,30,211,0.3388986667
2009,7,31,212,0.2522717143
2009,8,1,213,0.2260210000
2009,8,2,214,0.0911493333
2009,8,3,215,0.1612760000
2009,8,4,216,0.2775361429
2009,8,5,217,0.2140788750
2009,8,6,218,0.4199125000
2009,9,24,267,0.0233865000
2009,9,25,268,0.0155795000
2009,9,26,269,0.0448530000
