#year,month,day,julian_day,pm10
2009,5,1,121,14.1667
2009,5,2,122,23.6667
2009,5,3,123,17.9583
2009,5,4,124,21.7083
2009,5,5,125,17.6667
2009,5,6,126,24.5417
2009,5,7,127,25.0833
2009,5,8,128,31.7917
2009,5,9,129,40.7083
2009,5,10,130,22.7083
2009,5,11,131,15.8333
2009,5,12,132,17.3333
2009,5,13,133,17.3750
2009,5,14,134,16.5417
2009,5,15,135,21.1250
2009,5,16,136,19.4167
2009,5,17,137,14.5417
2009,5,18,138,30.4583
2009,5,19,139,41.1250
2009,5,20,140,30.6667
2009,5,21,141,23.1667
2009,5,22,142,32.5000
2009,5,23,143,33.5000
2009,5,24,144,22.6667
2009,5,25,145,25.5833
2009,5,26,146,39.3750
2009,5,27,147,46.7917
2009,5,28,148,45.0000
2009,5,29,149,24.6667
2009,5,30,150,12.6364
2009,5,31,151,18.6000
2009,6,1,152,34.1111
2009,6,2,153,20.5000
2009,6,3,154,26.9583
2009,6,4,155,14.2609
2009,6,5,156,16.6667
2009,6,6,157,22.6250
2009,6,7,158,47.2083
2009,6,8,159,64.7083
2009,6,9,160,30.7500
2009,6,10,161,19.1250
2009,6,11,162,14.6667
2009,6,12,163,24.2917
2009,6,13,164,42.7083
2009,6,14,165,28.3478
2009,6,15,166,21.4000
2009,6,16,167,14.8462
2009,6,17,168,16.0833
2009,6,18,169,16.3333
2009,6,19,170,17.8750
2009,6,20,171,15.2500
2009,6,21,172,13.4091
2009,6,22,173,13.5652
2009,6,23,174,16.4167
2009,6,24,175,27.5000
2009,6,25,176,119.4167
2009,6,26,177,113.4167
2009,6,27,178,80.7917
2009,6,28,179,82.7917
2009,6,29,180,57.2917
2009,6,30,181,18.8750
2009,7,1,182,52.6250
2009,7,2,183,47.6250
2009,7,3,184,51.4167
2009,7,4,185,36.0833
2009,7,5,186,63.7826
2009,7,6,187,50.6250
2009,7,7,188,26.9583
2009,7,8,189,20.2500
2009,7,9,190,44.3750
2009,7,10,191,41.1250
2009,7,11,192,34.8750
2009,7,12,193,14.9167
2009,7,13,194,37.7917
2009,7,14,195,38.6250
2009,7,15,196,57.7500
2009,7,16,197,20.8333
2009,7,17,198,28.0833
2009,7,18,199,21.1667
2009,7,19,200,37.8333
2009,7,20,201,35.6667
2009,7,21,202,29.0833
2009,7,22,203,38.4167
2009,7,23,204,52.2917
2009,7,24,205,36.9583
2009,7,25,206,19.6250
2009,7,26,207,21.7500
2009,7,27,208,49.6250
2009,7,28,209,62.5417
2009,7,29,210,25.4583
2009,7,30,211,23.8889
2009,7,31,212,33.0000
2009,8,1,213,32.0000
2009,8,2,214,25.5417
2009,8,3,215,43.6250
2009,8,4,216,50.4583
2009,8,5,217,53.5000
2009,8,6,218,82.7083
2009,8,7,219,65.0833
2009,8,8,220,37.8333
2009,8,9,221,32.4167
2009,8,10,222,41.6667
2009,8,11,223,26.3750
2009,8,12,224,19.9167
2009,8,13,225,27.1667
2009,8,14,226,25.0000
2009,8,15,227,25.2500
2009,8,16,228,23.6250
2009,8,17,229,26.0833
2009,8,18,230,40.2500
2009,8,19,231,29.2083
2009,8,20,232,32.3750
2009,8,21,233,24.1667
2009,8,22,234,27.8750
2009,8,23,235,23.3750
2009,8,24,236,21.2917
2009,8,25,237,22.9583
2009,8,26,238,55.6250
2009,8,27,239,33.9167
2009,8,28,240,18.1667
2009,8,29,241,19.8333
2009,8,30,242,27.5417
2009,8,31,243,43.4167
2009,9,1,244,23.5000
2009,9,2,245,15.5000
2009,9,3,246,15.1667
2009,9,4,247,14.6667
2009,9,5,248,13.0417
2009,9,6,249,28.7500
2009,9,7,250,19.0833
2009,9,8,251,15.5652
2009,9,9,252,23.6667
2009,9,10,253,20.9583
2009,9,11,254,22.7083
2009,9,12,255,31.6250
2009,9,13,256,27.0909
2009,9,14,257,25.5833
2009,9,15,258,25.7083
2009,9,16,259,33.1250
2009,9,17,260,19.4583
2009,9,18,261,16.6667
2009,9,19,262,24.4167
2009,9,20,263,22.2500
2009,9,21,264,18.5652
2009,9,22,265,17.2500
2009,9,23,266,15.9167
2009,9,24,267,19.4167
2009,9,25,268,12.2917
2009,9,26,269,13.9167
2009,9,27,270,59.6667
2009,9,28,271,97.6250
2009,9,29,272,27.1250
2009,9,30,273,14.3333
2009,10,1,274,15.5000
2009,10,2,275,13.8333
2009,10,3,276,23.5000
2009,10,4,277,11.9167
2009,10,5,278,67.0417
2009,10,6,279,68.6667
2009,10,7,280,44.9583
2009,10,8,281,18.2917
2009,10,9,282,33.4583
2009,10,10,283,51.0833
2009,10,11,284,47.7500
2009,10,12,285,51.9167
2009,10,13,286,21.2500
2009,10,14,287,24.0000
2009,10,15,288,20.3750
2009,10,16,289,19.5000
2009,10,17,290,28.6957
2009,10,18,291,18.9583
2009,10,19,292,16.7083
2009,10,20,293,19.6250
2009,10,21,294,19.2083
2009,10,22,295,18.6667
2009,10,23,296,16.2500
2009,10,24,297,13.9167
2009,10,25,298,13.2500
2009,10,26,299,19.0833
2009,10,27,300,19.7500
2009,10,28,301,16.9583
2009,10,29,302,17.7917
2009,10,30,303,17.0000
2009,10,31,304,12.6250
2009,11,1,305,11.0417
2009,11,2,306,12.1667
2009,11,3,307,18.6250
2009,11,4,308,26.9583
2009,11,5,309,36.3750
2009,11,6,310,20.4167
2009,11,7,311,22.5833
2009,11,8,312,17.2083
2009,11,9,313,21.2500
2009,11,10,314,29.9167
2009,11,11,315,14.9167
2009,11,12,316,17.0417
2009,11,13,317,18.4783
2009,11,14,318,26.1667
2009,11,15,319,25.5417
2009,11,16,320,17.1250
2009,11,17,321,16.9583
2009,11,18,322,17.8750
2009,11,19,323,15.2500
2009,11,20,324,16.4167
2009,11,21,325,21.5000
2009,11,22,326,19.6667
2009,11,23,327,17.8500
2009,11,24,328,18.4167
2009,11,25,329,21.7917
2009,11,26,330,32.5000
2009,11,27,331,38.5000
2009,11,28,332,33.7917
2009,11,29,333,18.2083
2009,11,30,334,20.2083
2009,12,1,335,23.5833
2009,12,2,336,18.1250
2009,12,3,337,19.1667
2009,12,4,338,18.4000
2009,12,5,339,18.1250
2009,12,6,340,15.3333
2009,12,7,341,28.1364
2009,12,8,342,22.0833
2009,12,9,343,16.3333
2009,12,10,344,16.4583
2009,12,11,345,20.3333
2009,12,12,346,19.0417
2009,12,13,347,18.4583
2009,12,14,348,15.0833
2009,12,15,349,18.4583
2009,12,16,350,10.6250
2009,12,17,351,17.5417
2009,12,18,352,13.7391
2009,12,19,353,11.7083
2009,12,20,354,11.4167
