#year,month,day,julian_day,pm10,aot1020
2012,1,1,1,18,0.095548
2012,1,2,2,20,0.116732
2012,1,3,3,26,0.115765
2012,1,4,4,20,0.068235
2012,1,5,5,19,0.057258
2012,1,6,6,19,0.049129
2012,1,7,7,18,0.062444
2012,1,8,8,12,0.066855
2012,1,9,9,21,0.071092
2012,1,10,10,19,0.041534
2012,1,12,12,23,0.039556
2012,1,13,13,19,0.072378
2012,1,14,14,25,0.063363
2012,1,15,15,22,0.059701
2012,1,16,16,20,0.060369
2012,1,17,17,12,0.060036
2012,1,18,18,19,0.039930
2012,1,19,19,33,0.048285
2012,1,20,20,24,0.061641
2012,1,21,21,17,0.049256
2012,1,22,22,13,0.041474
2012,1,23,23,17,0.028942
2012,1,25,25,17,0.018451
2012,1,26,26,15,0.032957
2012,1,27,27,14,0.048508
2012,1,28,28,17,0.053247
2012,1,29,29,20,0.067019
2012,1,31,31,17,0.076075
2012,2,1,32,16,0.088077
2012,2,2,33,23,0.075026
2012,2,3,34,23,0.098511
2012,2,4,35,17,0.062674
2012,2,5,36,17,0.056937
2012,2,6,37,21,0.064851
2012,2,7,38,19,0.075010
2012,2,8,39,28,0.092816
2012,2,9,40,17,0.057570
2012,2,12,43,17,0.052668
2012,2,13,44,15,0.028309
2012,2,14,45,15,0.031293
2012,2,15,46,28,0.063588
2012,2,16,47,24,0.067019
2012,2,17,48,39,0.049406
2012,2,18,49,13,0.018634
2012,2,19,50,14,0.024820
2012,2,20,51,9,0.021204
2012,2,21,52,16,0.038550
2012,2,22,53,7,0.040653
2012,2,23,54,17,0.060156
2012,2,24,55,19,0.048881
2012,2,25,56,20,0.079495
2012,2,26,57,20,0.092492
2012,2,27,58,19,0.101255
2012,2,28,59,21,0.114646
2012,2,29,60,28,0.096346
2012,3,1,61,29,0.069433
2012,3,2,62,18,0.095663
2012,3,3,63,22,0.099751
2012,3,4,64,19,0.090781
2012,3,5,65,21,0.076837
2012,3,6,66,35,0.123015
2012,3,7,67,55,0.182577
2012,3,8,68,26,0.079757
2012,3,9,69,22,0.126126
2012,3,10,70,23,0.188532
2012,3,12,72,25,0.084914
2012,3,13,73,15,0.056994
2012,3,14,74,27,0.063893
2012,3,16,76,38,0.120140
2012,3,18,78,37,0.241251
2012,3,20,80,36,0.152097
2012,4,10,101,17,0.042393
2012,4,11,102,19,0.061873
2012,4,12,103,17,0.079263
2012,4,13,104,21,0.071093
2012,4,14,105,13,0.047846
2012,4,15,106,12,0.059651
2012,4,16,107,22,0.097092
2012,4,19,110,21,0.040062
2012,4,20,111,8,0.023900
2012,4,22,113,12,0.050810
2012,4,23,114,21,0.080487
2012,4,24,115,22,0.070639
2012,4,27,118,13,0.040344
2012,4,28,119,20,0.056860
2012,4,29,120,15,0.077056
2012,4,30,121,21,0.075055
2012,5,9,130,15,0.066528
2012,5,11,132,70,0.228328
2012,5,12,133,85,0.518777
2012,5,14,135,30,0.207512
2012,5,15,136,19,0.085499
2012,5,16,137,21,0.074032
2012,5,17,138,13,0.072410
2012,5,18,139,46,0.171523
2012,5,19,140,23,0.218528
2012,5,20,141,31,0.144916
2012,5,21,142,39,0.189858
2012,5,22,143,45,0.168343
2012,5,23,144,50,0.156961
2012,5,24,145,27,0.101574
2012,5,25,146,24,0.099780
2012,5,26,147,15,0.091744
2012,5,27,148,14,0.052241
2012,5,28,149,31,0.133731
2012,5,29,150,33,0.209570
2012,5,30,151,82,0.258923
2012,6,1,153,67,0.405520
2012,6,2,154,78,0.361679
2012,6,3,155,68,0.384678
2012,6,4,156,77,0.267463
2012,6,5,157,23,0.062689
2012,6,6,158,36,0.194744
2012,6,7,159,46,0.306985
2012,6,8,160,38,0.300239
2012,6,9,161,29,0.063770
2012,6,10,162,45,0.154324
2012,6,11,163,45,0.300493
2012,6,12,164,65,0.334811
2012,6,13,165,37,0.343226
2012,6,16,168,62,0.441920
2012,6,17,169,58,0.485704
2012,6,18,170,43,0.236407
2012,6,19,171,36,0.187331
2012,6,21,173,54,0.425364
2012,6,22,174,67,0.405941
2012,6,23,175,22,0.076910
2012,6,24,176,22,0.129782
2012,6,25,177,37,0.180151
2012,6,26,178,62,0.423105
2012,6,27,179,77,0.394192
2012,6,28,180,34,0.144487
2012,6,29,181,31,0.183376
2012,7,5,187,76,0.496347
2012,7,8,190,13,0.033389
