#year,month,day,julian_day,aot1020
2006,9,14,257,0.043941
2006,9,15,258,0.331859
2006,9,18,261,0.057271
2006,9,20,263,0.092740
2006,9,21,264,0.042875
2006,9,22,265,0.067772
2006,9,23,266,0.045048
2006,9,27,270,0.047193
2006,9,30,273,0.054595
2006,10,1,274,0.065136
2006,10,3,276,0.023121
2006,10,4,277,0.056276
2006,10,5,278,0.064021
2006,10,6,279,0.072613
2006,10,8,281,0.220781
2006,10,10,283,0.154545
2006,10,11,284,0.032917
2006,10,20,293,0.070476
2006,10,22,295,0.042970
2006,10,23,296,0.055872
2006,10,24,297,0.048823
2006,10,25,298,0.024840
2006,10,26,299,0.014854
2006,10,29,302,0.090624
2006,11,2,306,0.033189
2006,11,3,307,0.035975
2006,11,4,308,0.019187
2006,11,6,310,0.051000
2006,11,7,311,0.050673
2006,11,8,312,0.052589
2006,11,9,313,0.037799
2006,11,10,314,0.013969
2006,11,11,315,0.039961
2006,11,12,316,0.020848
2006,11,13,317,0.019261
2006,11,14,318,0.020520
2006,11,15,319,0.021888
2006,11,16,320,0.028979
2006,11,17,321,0.030909
2006,11,18,322,0.033445
2006,11,19,323,0.017862
2006,11,20,324,0.045899
2006,11,21,325,0.136973
2006,11,22,326,0.045104
2006,11,24,328,0.044405
2006,11,25,329,0.038029
2006,11,26,330,0.022536
2006,11,27,331,0.024228
2006,12,2,336,0.119872
2006,12,3,337,0.074012
2006,12,8,342,0.122980
2006,12,10,344,0.110258
2006,12,11,345,0.072867
2006,12,12,346,0.061726
2006,12,13,347,0.059580
2006,12,14,348,0.074649
2006,12,15,349,0.032766
2006,12,18,352,0.043728
2006,12,19,353,0.083965
2006,12,20,354,0.046364
2012,9,6,250,0.238965
2012,9,7,251,0.190626
2012,9,8,252,0.175237
2012,9,9,253,0.089336
2012,9,10,254,0.061601
2012,9,11,255,0.120361
2012,9,12,256,0.054347
2012,9,13,257,0.036877
2012,9,14,258,0.012342
2012,9,15,259,0.016856
2012,9,16,260,0.049984
2012,9,17,261,0.382240
2012,9,18,262,0.131898
2012,9,19,263,0.035163
2012,9,20,264,0.130437
2012,9,21,265,0.129689
2012,9,22,266,0.199952
2012,9,24,268,0.086352
2012,9,25,269,0.463878
2012,9,26,270,0.113968
2012,9,27,271,0.054376
2012,9,28,272,0.043233
2012,9,29,273,0.055186
2012,9,30,274,0.037516
2012,10,1,275,0.061594
2012,10,2,276,0.625563
2012,10,5,279,0.491967
2012,10,6,280,0.091691
2012,10,7,281,0.113994
2012,10,8,282,0.077226
2012,10,9,283,0.285611
2012,10,10,284,0.117123
2012,10,15,289,0.309378
2012,10,16,290,0.880098
2012,10,17,291,0.150489
2012,10,18,292,0.189735
2012,10,19,293,0.175715
2012,10,20,294,0.071139
2012,10,21,295,0.026430
2012,10,22,296,0.021604
2012,10,23,297,0.027433
2012,10,24,298,0.027154
2012,10,25,299,0.048290
2012,10,26,300,0.048851
2012,10,27,301,0.083492
2012,10,28,302,0.037648
2012,10,29,303,0.027744
2012,10,30,304,0.065044
2012,10,31,305,0.043965
2012,11,1,306,0.138846
2012,11,2,307,0.083007
2012,11,3,308,0.040972
2012,11,4,309,0.027167
2012,11,5,310,0.033097
2012,11,6,311,0.034272
2012,11,7,312,0.047057
2012,11,8,313,0.036119
2012,11,9,314,0.041838
2012,11,10,315,0.035991
2012,11,11,316,0.462312
2012,11,13,318,0.256565
2012,11,14,319,0.239531
2012,11,15,320,0.045216
2012,11,16,321,0.024283
2012,11,17,322,0.055469
2012,11,18,323,0.065008
2012,11,19,324,0.045949
2012,11,20,325,0.045948
2012,11,22,327,0.031978
2012,11,23,328,0.035716
2012,11,24,329,0.029607
2012,11,25,330,0.064067
2012,11,26,331,0.046310
2012,11,27,332,0.067616
2012,11,28,333,0.050664
2012,11,29,334,0.047191
2012,11,30,335,0.097293
2012,12,1,336,0.037793
2012,12,2,337,0.074684
2012,12,9,344,0.087596
2012,12,10,345,0.090067
2012,12,11,346,0.098496
2012,12,12,347,0.117292
2012,12,14,349,0.104255
