#year,month,day,julian_day,heure,aot1020,aot870,aot675,aot440
2005,1,7,7,11,0.121356,0.132133,0.148071,0.171530
2005,1,11,11,9,0.193550,0.198552,0.197376,0.200007
2005,1,11,11,13,0.108392,0.119626,0.126347,0.135210
2005,1,12,12,9,0.124575,0.131561,0.134663,0.134262
2005,1,12,12,13,0.173392,0.180237,0.187357,0.190049
2005,1,15,15,8,0.204063,0.209310,0.210369,0.211580
2005,1,15,15,10,0.194659,0.196670,0.206011,0.215452
2005,1,15,15,14,0.140916,0.146783,0.150851,0.155891
2005,1,16,16,16,0.157370,0.162837,0.157582,0.157535
2005,1,17,17,10,0.106150,0.114590,0.127964,0.141638
2005,1,18,18,8,0.056470,0.061595,0.068580,0.082163
2005,1,18,18,9,0.062520,0.069914,0.083379,0.108170
2005,1,19,19,9,0.054173,0.062792,0.079139,0.100197
2005,1,19,19,10,0.081796,0.084558,0.104043,0.130689
2005,1,19,19,14,0.064178,0.073438,0.082220,0.101089
2005,1,21,21,15,0.076836,0.086960,0.096167,0.128081
2005,1,23,23,8,0.112481,0.114779,0.125397,0.148352
2005,1,23,23,10,0.070026,0.071958,0.085100,0.102306
2005,1,23,23,13,0.074664,0.080363,0.091863,0.107578
2005,1,24,24,12,0.078951,0.091084,0.105186,0.109963
2005,1,27,27,11,0.059243,0.071758,0.090873,0.106637
2005,1,27,27,12,0.059970,0.074748,0.090198,0.114287
2005,1,27,27,16,0.050432,0.056683,0.063410,0.080784
2005,1,28,28,9,0.053738,0.066611,0.083415,0.114857
2005,1,28,28,10,0.070599,0.086355,0.113934,0.174528
2005,1,28,28,15,0.044622,0.055774,0.070244,0.102389
2005,1,29,29,8,0.063794,0.071391,0.084066,0.111305
2005,1,29,29,9,0.051324,0.062994,0.076150,0.104826
2005,1,29,29,10,0.042925,0.052232,0.067585,0.089306
2005,1,29,29,12,0.044089,0.056422,0.076298,0.097854
2005,1,29,29,15,0.044989,0.054681,0.067509,0.089486
2005,1,29,29,16,0.038440,0.044388,0.052420,0.069939
2005,1,30,30,8,0.040423,0.048499,0.060802,0.105319
2005,1,30,30,9,0.035824,0.047014,0.058778,0.078251
2005,1,30,30,11,0.048691,0.065721,0.087622,0.118764
2005,1,30,30,12,0.051167,0.065623,0.088376,0.115053
2005,2,2,33,12,0.012597,0.023455,0.043260,0.051965
2005,2,2,33,13,0.012025,0.022240,0.040979,0.052162
2005,2,2,33,14,0.014182,0.024119,0.037968,0.050920
2005,2,2,33,15,0.015308,0.023437,0.035487,0.045718
2005,2,2,33,16,0.018561,0.023168,0.028860,0.037203
2005,2,3,34,9,0.044779,0.059499,0.072793,0.087852
2005,2,3,34,10,0.049098,0.062312,0.078595,0.091494
2005,2,3,34,11,0.054944,0.070904,0.089210,0.097357
2005,2,3,34,12,0.049949,0.062603,0.084881,0.112736
2005,2,3,34,13,0.043659,0.054916,0.074612,0.097049
2005,2,3,34,15,0.049566,0.058849,0.072318,0.091051
2005,2,3,34,16,0.059327,0.067558,0.078269,0.103561
2005,2,4,35,15,0.072448,0.082385,0.098776,0.125026
2005,2,4,35,16,0.076525,0.082288,0.090190,0.112713
2005,2,5,36,8,0.050049,0.059276,0.069981,0.094291
2005,2,5,36,16,0.062753,0.074432,0.096362,0.159795
2005,2,10,41,14,0.043751,0.060749,0.088698,0.139482
2005,2,11,42,9,0.026528,0.037630,0.045277,0.058303
2005,2,11,42,10,0.040983,0.057966,0.071175,0.093127
2005,2,14,45,12,0.043077,0.055290,0.074791,0.084141
2005,2,14,45,13,0.047938,0.058880,0.078174,0.092444
2005,2,14,45,14,0.042902,0.053471,0.068340,0.079832
2005,2,14,45,15,0.032991,0.041912,0.053665,0.063899
2005,2,16,47,16,0.039493,0.048613,0.063143,0.095601
2005,2,22,53,10,0.085410,0.094065,0.108009,0.122610
2005,2,22,53,14,0.076176,0.085557,0.097873,0.112569
2005,2,23,54,8,0.059080,0.062876,0.066872,0.073744
2005,2,23,54,9,0.039623,0.049690,0.060443,0.068480
2005,2,23,54,10,0.051640,0.062353,0.074805,0.085284
2005,2,23,54,12,0.072673,0.085097,0.101169,0.112501
2005,2,24,55,12,0.067454,0.077596,0.096517,0.108901
2005,2,25,56,10,0.085501,0.094222,0.109967,0.119887
2005,2,26,57,9,0.053781,0.062928,0.073865,0.082011
2005,2,26,57,11,0.058637,0.073210,0.089597,0.104430
2005,2,26,57,13,0.063537,0.075886,0.094431,0.110978
2005,2,26,57,14,0.049539,0.060638,0.074243,0.087254
2005,2,26,57,15,0.056152,0.064929,0.074741,0.088265
2005,2,26,57,16,0.062272,0.068965,0.076682,0.089691
2005,2,27,58,8,0.073419,0.077917,0.086020,0.102603
2005,2,27,58,10,0.054019,0.065780,0.081314,0.092842
2005,2,27,58,11,0.055643,0.068871,0.087488,0.105053
2005,2,27,58,12,0.062920,0.076667,0.094672,0.114034
2005,2,27,58,13,0.060312,0.072119,0.090046,0.106565
2005,2,27,58,14,0.067289,0.077473,0.094842,0.115891
2005,2,27,58,15,0.076588,0.087119,0.101316,0.128004
2005,2,27,58,16,0.067780,0.076217,0.088592,0.109764
2005,2,28,59,8,0.066368,0.075894,0.085115,0.100774
2005,2,28,59,10,0.062591,0.076161,0.093343,0.110832
2005,3,1,60,9,0.075068,0.085884,0.095278,0.106624
2005,3,1,60,12,0.065724,0.082973,0.110392,0.149454
2005,3,1,60,13,0.075194,0.088055,0.111216,0.140666
2005,3,1,60,14,0.068400,0.079884,0.097740,0.122675
2005,3,1,60,15,0.060821,0.069913,0.083890,0.102470
2005,3,1,60,16,0.054149,0.061443,0.071869,0.086354
2005,3,2,61,8,0.114378,0.120817,0.129925,0.151890
2005,3,2,61,10,0.093439,0.113446,0.134952,0.166136
2005,3,2,61,14,0.093488,0.103829,0.124038,0.150185
2005,3,2,61,16,0.081889,0.091615,0.103969,0.128051
2005,3,3,62,9,0.049686,0.061659,0.074454,0.102606
2005,3,3,62,10,0.039057,0.052020,0.069357,0.091362
2005,3,3,62,11,0.051395,0.065366,0.086592,0.107385
2005,3,3,62,12,0.054185,0.067847,0.094214,0.128139
2005,3,3,62,13,0.052313,0.064689,0.088648,0.117969
2005,3,3,62,14,0.066114,0.076706,0.099023,0.132214
2005,3,3,62,16,0.069642,0.081124,0.099848,0.140390
2005,3,4,63,8,0.089537,0.099040,0.110712,0.152434
2005,3,5,64,16,0.036392,0.045144,0.058365,0.089865
2005,3,6,65,8,0.048639,0.054488,0.063599,0.084311
2005,3,6,65,14,0.029215,0.042234,0.066031,0.108277
2005,3,7,66,8,0.094196,0.119630,0.174729,0.310294
2005,3,7,66,10,0.060079,0.080575,0.118358,0.184886
2005,3,7,66,13,0.048902,0.070516,0.109023,0.180829
2005,3,7,66,14,0.046580,0.062865,0.093275,0.150452
2005,3,8,67,10,0.103840,0.119314,0.147352,0.196985
2005,3,9,68,9,0.099287,0.121457,0.158991,0.239843
2005,3,9,68,12,0.088299,0.107210,0.142405,0.207812
2005,3,9,68,13,0.090564,0.109652,0.143342,0.208962
2005,3,10,69,11,0.143664,0.157014,0.177590,0.204517
2005,3,11,70,8,0.069455,0.079480,0.094193,0.119521
2005,3,11,70,9,0.064014,0.074950,0.090189,0.108462
2005,3,11,70,11,0.092121,0.107605,0.138098,0.183357
2005,3,11,70,12,0.095016,0.111413,0.140129,0.185541
2005,3,11,70,16,0.085379,0.097782,0.115638,0.158381
2005,3,12,71,11,0.052429,0.064294,0.090185,0.118859
2005,3,13,72,13,0.048615,0.060739,0.083279,0.108437
2005,3,13,72,14,0.042175,0.053006,0.071337,0.093693
2005,3,13,72,15,0.034531,0.043941,0.058688,0.080692
2005,3,13,72,16,0.033547,0.041181,0.050003,0.066014
2005,3,14,73,8,0.043916,0.051606,0.061752,0.078347
2005,3,14,73,10,0.033055,0.046609,0.067245,0.088355
2005,3,14,73,12,0.034517,0.047524,0.072796,0.096652
2005,3,14,73,13,0.033742,0.046621,0.069290,0.093763
2005,3,14,73,14,0.038981,0.050052,0.068549,0.092218
2005,3,14,73,15,0.038785,0.048389,0.063024,0.084561
2005,3,14,73,16,0.032650,0.039830,0.049603,0.066483
2005,3,15,74,9,0.020510,0.030045,0.048302,0.064991
2005,3,15,74,10,0.021706,0.033300,0.053657,0.075030
2005,3,15,74,11,0.019505,0.032174,0.055773,0.074578
2005,3,15,74,12,0.023837,0.038178,0.066217,0.089939
2005,3,15,74,13,0.027952,0.042269,0.067336,0.096486
2005,3,15,74,14,0.033778,0.046450,0.070898,0.102981
2005,3,15,74,15,0.032635,0.043140,0.062223,0.094626
2005,3,15,74,16,0.029503,0.038184,0.051723,0.080939
2005,3,16,75,10,0.035208,0.052728,0.080310,0.123693
2005,3,16,75,11,0.032173,0.048400,0.079253,0.122296
2005,3,16,75,12,0.032609,0.050126,0.081656,0.130021
2005,3,16,75,14,0.037096,0.059097,0.085967,0.139173
2005,3,16,75,15,0.035876,0.050317,0.074506,0.123490
2005,3,16,75,16,0.043234,0.056613,0.078550,0.129090
2005,3,17,76,10,0.053044,0.070286,0.096711,0.144517
2005,3,17,76,12,0.053005,0.069379,0.100403,0.153178
2005,3,17,76,13,0.053436,0.069734,0.100502,0.152403
2005,3,17,76,14,0.044513,0.058456,0.082807,0.125422
2005,3,17,76,15,0.045132,0.056817,0.077326,0.118293
2005,3,17,76,16,0.050692,0.061033,0.077154,0.119718
2005,3,18,77,13,0.072399,0.089072,0.118673,0.170743
2005,3,18,77,14,0.085748,0.105205,0.135452,0.192398
2005,3,18,77,15,0.070570,0.083471,0.103997,0.146266
2005,3,18,77,16,0.071807,0.081792,0.096583,0.139350
2005,3,19,78,9,0.061976,0.071920,0.089396,0.114961
2005,3,19,78,13,0.069547,0.084873,0.113246,0.157505
2005,3,19,78,14,0.079548,0.094368,0.120633,0.169493
2005,3,19,78,16,0.067133,0.076956,0.094595,0.139409
2005,3,20,79,11,0.052567,0.068218,0.092871,0.119502
2005,3,20,79,14,0.066979,0.080500,0.102272,0.143636
2005,3,21,80,15,0.060320,0.071746,0.087932,0.115562
2005,3,21,80,16,0.068528,0.077209,0.085844,0.110773
2005,3,22,81,8,0.141088,0.152797,0.171490,0.193951
2005,3,22,81,9,0.137299,0.152702,0.173486,0.197759
2005,3,22,81,10,0.125494,0.141387,0.165213,0.189649
2005,3,22,81,11,0.124150,0.141058,0.169009,0.193694
2005,3,22,81,12,0.137316,0.155598,0.185438,0.212562
2005,3,22,81,13,0.136429,0.153724,0.181550,0.211095
2005,3,22,81,15,0.149902,0.166352,0.184701,0.211649
2005,3,22,81,16,0.148209,0.162220,0.177610,0.205375
2005,3,23,82,8,0.101361,0.111591,0.128393,0.157435
2005,3,23,82,15,0.075934,0.086943,0.104849,0.131980
2005,3,23,82,16,0.064775,0.074937,0.088003,0.115069
2005,3,24,83,8,0.070244,0.078763,0.093215,0.113818
2005,3,24,83,9,0.068359,0.077823,0.095122,0.109943
2005,3,24,83,10,0.057752,0.070666,0.090699,0.114896
2005,3,24,83,13,0.073253,0.086638,0.110282,0.141370
2005,3,24,83,14,0.053146,0.065381,0.083438,0.109113
2005,3,24,83,15,0.050479,0.060015,0.074992,0.097653
2005,3,24,83,16,0.056689,0.064895,0.074527,0.096951
2005,3,25,84,9,0.064055,0.076042,0.093052,0.116378
2005,3,25,84,10,0.102684,0.116550,0.135760,0.164758
2005,3,25,84,12,0.074113,0.088379,0.116179,0.158734
2005,3,25,84,13,0.062900,0.076189,0.101577,0.137160
2005,3,25,84,14,0.064853,0.077132,0.097885,0.130511
2005,3,25,84,15,0.067854,0.078575,0.094752,0.123899
2005,3,25,84,16,0.066639,0.075139,0.087133,0.116565
2005,3,26,85,8,0.048844,0.058820,0.072722,0.094378
2005,3,26,85,11,0.051033,0.065063,0.089397,0.116880
2005,3,26,85,12,0.049716,0.062939,0.089305,0.120146
2005,3,26,85,13,0.038804,0.051073,0.074833,0.105651
2005,3,26,85,14,0.047311,0.058570,0.078217,0.104683
2005,3,26,85,15,0.044503,0.055107,0.070177,0.093233
2005,3,26,85,16,0.051688,0.059990,0.071106,0.094937
2005,3,27,86,8,0.072593,0.080914,0.092816,0.119579
2005,3,27,86,10,0.069109,0.082332,0.108319,0.142876
2005,3,27,86,11,0.065548,0.082203,0.107947,0.147136
2005,3,27,86,12,0.047197,0.061883,0.086954,0.120656
2005,3,27,86,13,0.046447,0.059306,0.083446,0.110042
2005,3,27,86,14,0.050677,0.064062,0.084876,0.115906
2005,3,27,86,15,0.076203,0.086884,0.099939,0.125280
2005,3,27,86,16,0.049230,0.057799,0.069204,0.094036
2005,3,29,88,12,0.079273,0.092986,0.120789,0.161456
2005,3,29,88,13,0.079981,0.092165,0.125274,0.176143
2005,3,29,88,14,0.070163,0.083648,0.107278,0.146506
2005,3,29,88,15,0.072258,0.084162,0.102959,0.141137
2005,3,29,88,16,0.069922,0.080449,0.094397,0.126599
2005,3,30,89,8,0.069703,0.078856,0.088455,0.100505
2005,3,30,89,9,0.055970,0.066405,0.084496,0.096310
2005,3,31,90,15,0.161747,0.176052,0.198608,0.238459
2005,4,2,92,9,0.156248,0.175478,0.200263,0.243675
2005,4,2,92,10,0.214662,0.232956,0.262013,0.298489
2005,4,2,92,14,0.154278,0.173944,0.195145,0.231159
2005,4,2,92,15,0.167968,0.184449,0.205368,0.240186
2005,4,3,93,8,0.154860,0.169979,0.192987,0.225886
2005,4,3,93,10,0.167749,0.185724,0.218238,0.253774
2005,4,3,93,11,0.160536,0.180466,0.212861,0.248300
2005,4,3,93,12,0.163373,0.187017,0.215834,0.258744
2005,4,3,93,13,0.153433,0.171907,0.202903,0.241520
2005,4,3,93,14,0.148925,0.165519,0.195463,0.237389
2005,4,3,93,15,0.141553,0.157154,0.182529,0.223506
2005,4,3,93,16,0.165362,0.180289,0.201346,0.246175
2005,4,4,94,9,0.155805,0.174492,0.196941,0.235188
2005,4,4,94,10,0.148558,0.168103,0.197870,0.232797
2005,4,4,94,11,0.175554,0.195110,0.228598,0.265712
2005,4,4,94,12,0.155693,0.176281,0.210481,0.250282
2005,4,4,94,13,0.160148,0.179755,0.212727,0.249180
2005,4,4,94,14,0.168186,0.186920,0.216867,0.259138
2005,4,4,94,15,0.189898,0.208914,0.235889,0.284371
2005,4,4,94,16,0.169096,0.182562,0.202160,0.237482
2005,4,5,95,8,0.168249,0.182740,0.207539,0.238769
2005,4,5,95,9,0.161721,0.177650,0.203190,0.233225
2005,4,5,95,10,0.180047,0.200980,0.234006,0.271691
2005,4,5,95,11,0.177086,0.197806,0.230308,0.264500
2005,4,5,95,12,0.184096,0.206020,0.240337,0.281986
2005,4,5,95,14,0.182883,0.201213,0.230492,0.278257
2005,4,5,95,16,0.219276,0.232674,0.251752,0.297969
2005,4,6,96,9,0.130794,0.148758,0.174465,0.212777
2005,4,6,96,10,0.130414,0.151698,0.182416,0.217369
2005,4,6,96,12,0.133320,0.154368,0.190154,0.236593
2005,4,6,96,13,0.166440,0.186398,0.217710,0.262462
2005,4,6,96,14,0.148557,0.168194,0.197825,0.244190
2005,4,6,96,15,0.137905,0.155364,0.180672,0.220888
2005,4,6,96,16,0.145894,0.161597,0.183640,0.231085
2005,4,7,97,8,0.100609,0.117253,0.138707,0.173161
2005,4,7,97,13,0.088565,0.106378,0.138100,0.176397
2005,4,7,97,14,0.090060,0.107637,0.136477,0.177567
2005,4,7,97,15,0.090973,0.107573,0.132727,0.174766
2005,4,7,97,16,0.099951,0.114041,0.134273,0.176165
2005,4,8,98,8,0.128350,0.140942,0.163627,0.193099
2005,4,8,98,10,0.277921,0.285252,0.312849,0.337143
2005,4,8,98,11,0.211272,0.231899,0.256345,0.283388
2005,4,8,98,13,0.247835,0.255285,0.283750,0.312141
2005,4,8,98,16,0.181131,0.191581,0.203982,0.233685
2005,4,9,99,8,0.171388,0.180905,0.199756,0.219038
2005,4,9,99,10,0.142503,0.160949,0.189543,0.224708
2005,4,9,99,15,0.097576,0.111316,0.127464,0.155007
2005,4,9,99,16,0.083881,0.092747,0.104723,0.129338
2005,4,10,100,14,0.104848,0.116747,0.139759,0.166109
2005,4,12,102,8,0.127544,0.140937,0.160033,0.204271
2005,4,12,102,11,0.140830,0.158893,0.195759,0.249800
2005,4,12,102,14,0.135139,0.152706,0.184386,0.235103
2005,4,12,102,15,0.142598,0.161637,0.191659,0.246079
2005,4,12,102,16,0.131024,0.144091,0.166251,0.215888
2005,4,13,103,9,0.176229,0.186850,0.208962,0.234741
2005,4,14,104,8,0.173294,0.185064,0.201410,0.222549
2005,4,14,104,11,0.183596,0.198521,0.228979,0.254077
2005,4,14,104,12,0.182035,0.200993,0.233797,0.269424
2005,4,14,104,13,0.195945,0.216466,0.250224,0.295670
2005,5,22,142,8,0.059823,0.069352,0.089892,0.117734
2005,5,22,142,9,0.057999,0.069004,0.093290,0.118571
2005,5,22,142,10,0.057258,0.070853,0.102574,0.128907
2005,5,22,142,11,0.053755,0.065613,0.094671,0.116801
