#year,month,day,julian_day,heure,aot1020,aot870,aot675,aot440
2009,3,12,71,8,0.055997,0.068230,0.073285,0.104610
2009,3,13,72,9,0.034144,0.044643,0.048783,0.062289
2009,3,14,73,8,0.090547,0.096711,0.096891,0.106868
2009,3,14,73,9,0.063047,0.072866,0.076014,0.088664
2009,3,14,73,10,0.066594,0.078397,0.083828,0.101690
2009,3,14,73,15,0.062095,0.070717,0.074440,0.087207
2009,3,14,73,16,0.079226,0.084693,0.088573,0.102376
2009,3,15,74,10,0.042987,0.052896,0.055670,0.068168
2009,3,15,74,13,0.059654,0.070677,0.075604,0.089489
2009,3,16,75,8,0.045427,0.051573,0.052005,0.063279
2009,3,16,75,11,0.012693,0.025585,0.030543,0.044412
2009,3,16,75,12,0.015193,0.027904,0.033558,0.047075
2009,3,16,75,13,0.017956,0.029774,0.035214,0.048571
2009,3,16,75,14,0.023292,0.034005,0.038260,0.052448
2009,3,17,76,9,0.064658,0.075348,0.080330,0.098898
2009,3,17,76,10,0.058263,0.070154,0.075981,0.094789
2009,3,17,76,12,0.093806,0.105169,0.117502,0.135678
2009,3,17,76,13,0.080245,0.091470,0.100304,0.121703
2009,3,17,76,14,0.062386,0.072852,0.080869,0.100696
2009,3,17,76,15,0.051966,0.060078,0.067036,0.085460
2009,3,17,76,16,0.047130,0.052943,0.058985,0.075453
2009,3,18,77,8,0.066432,0.074022,0.075907,0.088038
2009,3,18,77,9,0.040534,0.050422,0.054502,0.067445
2009,3,18,77,10,0.032007,0.043563,0.049180,0.062523
2009,3,18,77,11,0.036938,0.049797,0.055109,0.067679
2009,3,18,77,12,0.041039,0.054625,0.060666,0.075533
2009,3,18,77,14,0.084615,0.095623,0.101070,0.119374
2009,3,18,77,15,0.061642,0.070165,0.075220,0.090739
2009,3,19,78,8,0.049535,0.056731,0.059519,0.075911
2009,3,19,78,9,0.055848,0.063438,0.068649,0.085435
2009,3,19,78,10,0.036813,0.051029,0.053938,0.069849
2009,3,19,78,11,0.035819,0.049180,0.054387,0.069830
2009,3,19,78,12,0.046221,0.055447,0.064245,0.083449
2009,3,19,78,15,0.051417,0.059608,0.064138,0.079024
