#year,month,day,julian_day,pm10,aot1020
2006,6,4,155,70,0.317438
2006,6,5,156,95,0.502510
2006,6,6,157,94,0.458441
2006,6,7,158,49,0.344795
2006,6,9,160,71,0.472788
2006,6,10,161,76,0.447037
2006,6,11,162,72,0.590758
2006,6,12,163,95,0.480792
2006,6,18,169,65,0.495783
2006,6,22,173,65,0.604528
2006,6,23,174,43,0.372488
2006,6,24,175,83,0.679793
2006,6,25,176,52,0.459795
2006,6,26,177,41,0.339269
2006,6,27,178,39,0.337557
2006,7,11,192,45,0.298270
2006,9,14,257,16,0.043941
2006,9,15,258,79,0.331859
2006,9,18,261,29,0.057271
2006,9,19,262,52,0.080776
2006,9,20,263,9,0.092740
2006,9,21,264,14,0.042875
2006,9,22,265,15,0.067772
2006,9,23,266,10,0.045048
2006,9,27,270,17,0.047193
2006,9,29,272,54,0.152597
2006,9,30,273,20,0.054595
2006,10,1,274,13,0.065136
2006,10,3,276,15,0.023121
2006,10,4,277,11,0.056276
2006,10,5,278,21,0.064021
2006,10,6,279,24,0.072613
2006,10,7,280,45,0.176470
2006,10,8,281,39,0.220781
2006,10,10,283,32,0.154545
2006,10,11,284,13,0.032917
2006,10,20,293,20,0.070476
2006,10,22,295,9,0.042970
2006,10,23,296,22,0.055872
2006,10,24,297,20,0.048823
2006,10,25,298,8,0.024840
2006,10,26,299,6,0.014854
2006,10,29,302,28,0.090624
2006,11,2,306,10,0.033189
2006,11,3,307,12,0.035975
2006,11,4,308,6,0.019187
2006,11,6,310,15,0.051000
2006,11,7,311,18,0.050673
2006,11,8,312,15,0.052589
2006,11,9,313,13,0.037799
2006,11,10,314,11,0.013969
2006,11,11,315,11,0.039961
2006,11,12,316,5,0.020848
2006,11,13,317,7,0.019261
2006,11,14,318,11,0.020520
2006,11,15,319,8,0.021888
2006,11,16,320,5,0.028979
2006,11,17,321,7,0.030909
2006,11,18,322,7,0.033445
2006,11,19,323,6,0.017862
2006,11,20,324,13,0.045899
2006,11,21,325,33,0.136973
2006,11,22,326,16,0.045104
2006,11,24,328,16,0.044405
2006,11,25,329,11,0.038029
2006,11,26,330,9,0.022536
2006,11,27,331,6,0.024228
2006,12,2,336,27,0.119872
2006,12,3,337,17,0.074012
2006,12,8,342,30,0.122980
2006,12,9,343,48,0.147352
2006,12,10,344,24,0.110258
2006,12,11,345,22,0.072867
2006,12,12,346,22,0.061726
2006,12,13,347,17,0.059580
2006,12,14,348,18,0.074649
2006,12,15,349,14,0.032766
2006,12,18,352,16,0.043728
2006,12,19,353,17,0.083965
2006,12,20,354,19,0.046364
2007,3,8,67,59,0.576927
2007,3,21,80,23,0.085343
2007,3,27,86,16,0.036135
2007,3,28,87,15,0.037101
2007,3,29,88,18,0.104460
2007,4,2,92,28,0.022513
2007,4,4,94,7,0.053245
2007,4,6,96,11,0.069908
2007,4,7,97,16,0.030612
2007,4,8,98,12,0.098408
2007,4,9,99,8,0.021292
2007,4,10,100,13,0.035646
2007,4,11,101,14,0.052517
2007,4,12,102,17,0.038893
2007,4,13,103,14,0.014857
2007,4,14,104,9,0.021213
2007,4,15,105,8,0.058733
2007,4,16,106,14,0.077316
2007,4,17,107,33,0.088473
2007,4,18,108,36,0.112130
2007,4,19,109,54,0.095852
2007,4,20,110,43,0.211080
2007,4,21,111,47,0.153761
2007,4,22,112,42,0.068780
2007,4,23,113,30,0.107586
2007,4,24,114,23,0.072028
2007,4,25,115,15,0.024382
2007,4,27,117,17,0.053534
2007,4,28,118,18,0.046578
2007,4,29,119,20,0.021114
2007,4,30,120,8,0.059548
2007,5,3,123,17,0.053502
2007,5,9,129,16,0.065278
2007,5,10,130,11,0.034502
2007,5,13,133,42,0.142908
2007,5,14,134,45,0.365982
2007,5,15,135,147,0.137555
2007,5,16,136,56,0.303348
2007,5,17,137,73,0.331782
2007,5,19,139,35,0.176817
2007,5,20,140,21,0.035855
2007,5,21,141,1,0.041374
2007,5,23,143,18,0.066996
2007,5,24,144,29,0.113297
2007,5,25,145,29,0.060726
2007,5,26,146,21,0.093806
2007,5,27,147,12,0.046515
2007,5,28,148,12,0.114447
2007,5,30,150,29,0.149083
2007,5,31,151,55,0.185639
2007,6,3,154,42,0.217749
2007,6,4,155,23,0.166178
2007,6,5,156,33,0.048447
2007,6,6,157,16,0.121895
2007,6,7,158,27,0.070497
2007,6,8,159,28,0.035775
2007,6,9,160,20,0.034793
2007,6,12,163,27,0.187658
2007,6,13,164,49,0.322078
2007,6,14,165,38,0.525407
2007,6,20,171,59,0.519435
2007,6,21,172,47,0.416343
2007,6,22,173,23,0.590248
2007,6,23,174,22,0.198875
2007,6,24,175,32,0.208879
2007,6,25,176,51,0.287323
2007,6,26,177,21,0.602580
2007,6,27,178,22,0.062748
2007,6,28,179,11,0.075750
2007,6,30,181,66,0.423312
2007,7,1,182,65,0.425760
2007,7,2,183,70,0.346375
2007,7,3,184,15,0.016718
2007,7,4,185,39,0.180594
2007,7,5,186,35,0.277035
2007,7,6,187,67,0.220697
2007,7,7,188,46,0.158581
2007,7,9,190,44,0.257186
2007,7,10,191,49,0.178517
2007,7,11,192,22,0.151455
2007,7,12,193,70,0.440315
2007,7,13,194,78,0.523035
2007,7,14,195,24,0.043992
2007,7,16,197,18,0.258306
2007,7,17,198,58,0.531863
2007,7,21,202,64,0.377249
2009,3,14,73,23,0.072302
2009,3,16,75,14,0.017284
2009,3,17,76,22,0.065493
2009,3,18,77,19,0.049463
2009,3,19,78,13,0.047492
2009,3,20,79,16,0.036036
2009,3,21,80,17,0.064056
2009,3,31,90,13,0.061659
2009,4,1,91,25,0.052203
2009,4,5,95,8,0.028319
2009,4,6,96,11,0.026126
2009,4,7,97,13,0.022263
2009,4,8,98,17,0.048235
2009,4,10,100,13,0.075035
