#year,month,day,julian_day,pm10
2006,6,4,155,70
2006,6,7,158,49
2006,6,9,160,71
2006,6,10,161,76
2006,6,11,162,72
2006,6,18,169,65
2006,6,22,173,65
2006,6,23,174,43
2006,6,24,175,83
2006,6,25,176,52
2006,6,26,177,41
2006,6,27,178,39
2006,7,11,192,45
2006,9,14,257,16
2006,9,15,258,79
2006,9,18,261,29
2006,9,20,263,9
2006,9,21,264,14
2006,9,22,265,15
2006,9,23,266,10
2006,9,27,270,17
2006,9,30,273,20
2006,10,1,274,13
2006,10,3,276,15
2006,10,4,277,11
2006,10,5,278,21
2006,10,6,279,24
2006,10,8,281,39
2006,10,10,283,32
2006,10,11,284,13
2006,10,20,293,20
2006,10,22,295,9
2006,10,23,296,22
2006,10,24,297,20
2006,10,25,298,8
2006,10,26,299,6
2006,10,29,302,28
2006,11,2,306,10
2006,11,3,307,12
2006,11,4,308,6
2006,11,6,310,15
2006,11,7,311,18
2006,11,8,312,15
2006,11,9,313,13
2006,11,10,314,11
2006,11,11,315,11
2006,11,12,316,5
2006,11,13,317,7
2006,11,14,318,11
2006,11,15,319,8
2006,11,16,320,5
2006,11,17,321,7
2006,11,18,322,7
2006,11,19,323,6
2006,11,20,324,13
2006,11,21,325,33
2006,11,22,326,16
2006,11,24,328,16
2006,11,25,329,11
2006,11,26,330,9
2006,11,27,331,6
2006,12,2,336,27
2006,12,3,337,17
2006,12,8,342,30
2006,12,10,344,24
2006,12,11,345,22
2006,12,12,346,22
2006,12,13,347,17
2006,12,14,348,18
2006,12,15,349,14
2006,12,18,352,16
2006,12,19,353,17
2006,12,20,354,19
2007,4,4,94,7
2007,4,6,96,11
2007,4,7,97,16
2007,4,8,98,12
2007,4,9,99,8
2007,4,10,100,13
2007,4,11,101,14
2007,4,12,102,17
2007,4,13,103,14
2007,4,15,105,8
2007,4,16,106,14
2007,4,17,107,33
2007,4,18,108,36
2007,4,20,110,43
2007,4,21,111,47
2007,4,22,112,42
2007,4,23,113,30
2007,4,24,114,23
2007,4,25,115,15
2007,4,27,117,17
2007,4,28,118,18
2007,5,10,130,11
2007,5,13,133,42
2007,5,16,136,56
2007,5,17,137,73
2007,5,19,139,35
2007,5,23,143,18
2007,5,24,144,29
2007,6,3,154,42
2007,6,4,155,23
2007,6,13,164,49
2007,6,28,179,11
2007,7,1,182,65
2007,7,2,183,70
2007,7,3,184,15
2007,7,7,188,46
2007,7,11,192,22
2007,7,12,193,70
2007,7,13,194,78
2009,3,14,73,23
2009,3,16,75,14
2009,3,17,76,22
2009,3,18,77,19
2009,3,19,78,13
2009,3,20,79,16
2009,3,21,80,17
2009,3,31,90,13
2009,4,1,91,25
2009,4,5,95,8
2009,4,6,96,11
2009,4,7,97,13
2009,4,8,98,17
2009,4,10,100,13
2009,4,11,101,16
2009,4,12,102,15
2009,4,14,104,14
2009,4,15,105,17
2009,4,16,106,20
2009,4,17,107,14
