#year,month,day,julian_day,pm10
2012,1,1,1,18.7083
2012,1,2,2,20.7917
2012,1,3,3,23.7083
2012,1,4,4,18.2083
2012,1,5,5,17.3750
2012,1,6,6,19.7083
2012,1,7,7,15.7500
2012,1,8,8,14.1667
2012,1,9,9,15.0833
2012,1,10,10,16.8182
2012,1,11,11,14.7500
2012,1,12,12,17.9167
2012,1,13,13,20.0833
2012,1,14,14,19.0417
2012,1,15,15,19.2500
2012,1,16,16,17.4583
2012,1,17,17,14.0417
2012,1,18,18,18.3750
2012,1,19,19,26.0417
2012,1,20,20,21.9167
2012,1,21,21,18.0417
2012,1,22,22,14.8333
2012,1,23,23,16.7917
2012,1,24,24,15.8333
2012,1,25,25,17.0000
2012,1,26,26,14.5000
2012,1,27,27,14.9167
2012,1,28,28,17.2500
2012,1,29,29,17.8750
2012,1,30,30,19.2500
2012,1,31,31,16.4583
2012,2,1,32,17.2500
2012,2,2,33,20.5833
2012,2,3,34,20.7083
2012,2,4,35,18.0417
2012,2,5,36,17.4583
2012,2,6,37,21.1667
2012,2,7,38,20.9167
2012,2,8,39,20.5000
2012,2,9,40,17.4583
2012,2,10,41,61.7917
2012,2,11,42,29.4583
2012,2,12,43,16.7917
2012,2,13,44,15.7083
2012,2,14,45,15.7083
2012,2,15,46,22.2917
2012,2,16,47,21.9167
2012,2,17,48,23.6250
2012,2,18,49,16.2500
2012,2,19,50,15.3333
2012,2,20,51,18.3750
2012,2,21,52,13.5000
2012,2,22,53,11.9583
2012,2,23,54,17.1667
2012,2,24,55,17.7917
2012,2,25,56,18.0417
2012,2,26,57,21.6667
2012,2,27,58,19.6667
2012,2,28,59,18.5833
2012,2,29,60,20.2917
2012,3,1,61,17.4583
2012,3,2,62,19.6250
2012,3,3,63,15.3333
2012,3,4,64,17.8750
2012,3,5,65,19.6667
2012,3,6,66,28.7500
2012,3,7,67,54.1667
2012,3,8,68,24.2500
2012,3,9,69,22.2500
2012,3,10,70,21.3333
2012,3,11,71,20.3750
2012,3,12,72,16.7917
2012,3,13,73,16.8750
2012,3,14,74,16.2083
2012,3,15,75,18.0000
2012,3,16,76,34.2917
2012,3,17,77,43.1250
2012,3,18,78,34.5417
2012,3,19,79,40.0000
2012,3,20,80,36.5000
2012,3,21,81,27.4783
2012,3,22,82,25.7083
2012,3,23,83,22.6667
2012,3,24,84,34.4167
2012,3,25,85,70.0000
2012,3,26,86,68.3750
2012,3,27,87,58.0000
2012,3,28,88,81.2083
2012,3,29,89,60.3333
2012,3,30,90,25.7083
2012,3,31,91,18.6667
2012,4,1,92,18.0833
2012,4,2,93,11.4583
2012,4,3,94,14.3333
2012,4,4,95,13.8696
2012,4,5,96,13.8750
2012,4,6,97,14.3333
2012,4,7,98,15.2500
2012,4,8,99,13.7917
2012,4,9,100,17.1250
2012,4,10,101,15.3750
2012,4,11,102,17.2083
2012,4,12,103,18.4167
2012,4,13,104,17.1250
2012,4,14,105,14.2500
2012,4,15,106,12.7083
2012,4,16,107,20.1667
2012,4,17,108,19.1667
2012,4,18,109,16.2083
2012,4,19,110,9.8333
2012,4,20,111,10.7083
2012,4,21,112,12.6250
2012,4,22,113,12.3333
2012,4,23,114,17.2500
2012,4,24,115,14.1429
2012,4,25,116,17.5000
2012,4,26,117,14.2917
2012,4,27,118,15.0417
2012,4,28,119,14.6667
2012,4,29,120,16.3750
2012,4,30,121,18.5417
2012,5,1,122,15.7917
2012,5,2,123,18.8333
2012,5,3,124,24.8750
2012,5,4,125,14.0000
2012,5,5,126,14.3333
2012,5,6,127,9.9167
2012,5,7,128,8.0000
2012,5,8,129,14.7917
2012,5,9,130,16.9130
2012,5,10,131,56.3077
2012,5,11,132,72.9167
2012,5,12,133,81.5417
2012,5,13,134,48.9167
2012,5,14,135,22.0833
2012,5,15,136,15.5417
2012,5,16,137,18.4167
2012,5,17,138,14.5000
2012,5,18,139,38.1250
2012,5,19,140,24.3333
2012,5,20,141,31.2917
2012,5,21,142,38.0000
2012,5,22,143,44.2083
2012,5,23,144,48.0833
2012,5,24,145,29.7083
2012,5,25,146,20.8750
2012,5,26,147,16.8750
2012,5,27,148,12.1667
2012,5,28,149,29.1250
2012,5,29,150,44.7917
2012,5,30,151,82.5417
2012,5,31,152,57.3333
2012,6,1,153,71.9167
2012,6,2,154,82.4583
2012,6,3,155,64.2083
2012,6,4,156,71.6250
2012,6,5,157,29.2917
2012,6,6,158,31.7500
2012,6,7,159,46.6364
2012,6,8,160,39.8750
2012,6,9,161,24.7500
2012,6,10,162,36.5833
2012,6,11,163,46.7500
2012,6,12,164,61.1250
2012,6,13,165,44.5000
2012,6,14,166,44.5417
2012,6,15,167,38.5652
2012,6,16,168,57.5417
2012,6,17,169,51.7500
2012,6,18,170,39.9167
2012,6,19,171,25.3333
2012,6,21,173,56.8571
2012,6,22,174,54.5417
2012,6,23,175,21.0000
2012,6,24,176,20.5833
2012,6,25,177,29.5417
2012,6,26,178,56.0833
2012,6,27,179,67.6667
2012,6,28,180,35.2083
2012,6,29,181,30.7917
2012,6,30,182,30.8333
2012,7,1,183,74.4167
2012,7,2,184,92.2083
2012,7,3,185,60.3333
2012,7,4,186,52.5833
2012,7,5,187,63.0417
2012,7,6,188,51.2083
2012,7,7,189,20.2500
2012,7,8,190,12.2083
2012,7,9,191,39.6667
2012,7,10,192,69.4167
2012,7,11,193,45.4167
2012,7,12,194,21.4167
2012,7,13,195,13.1250
2012,7,14,196,51.5000
2012,7,15,197,40.7500
2012,7,16,198,48.5417
2012,7,17,199,24.2917
2012,7,18,200,13.0833
2012,7,19,201,36.7500
2012,7,20,202,61.0667
2012,7,23,205,43.0833
2012,7,24,206,60.3333
2012,7,25,207,52.7083
2012,7,26,208,50.2083
2012,7,27,209,34.8750
2012,7,28,210,22.8333
2012,7,29,211,44.2083
2012,7,30,212,15.7083
2012,7,31,213,28.1667
2012,8,1,214,34.7083
2012,8,2,215,32.1250
2012,8,3,216,21.3750
2012,8,4,217,38.7500
2012,8,5,218,37.9167
2012,8,6,219,30.2500
2012,8,7,220,34.2083
2012,8,8,221,43.4583
2012,8,9,222,42.9583
2012,8,10,223,61.0417
2012,8,11,224,60.1250
2012,8,12,225,19.9167
2012,8,13,226,21.7917
2012,8,14,227,21.8750
2012,8,15,228,16.7500
2012,8,16,229,35.9583
2012,8,17,230,62.8333
2012,8,18,231,71.7083
2012,8,19,232,64.6667
2012,8,20,233,48.2917
2012,8,21,234,56.3333
2012,8,22,235,31.1538
2012,8,23,236,17.2143
2012,8,24,237,36.7500
2012,8,25,238,52.8333
2012,8,26,239,34.7917
2012,8,27,240,37.6250
2012,8,28,241,58.7083
2012,8,29,242,36.0417
2012,8,30,243,27.0000
2012,8,31,244,28.1304
2012,9,1,245,30.3750
2012,9,2,246,25.7917
2012,9,3,247,21.0417
2012,9,4,248,27.7500
2012,9,5,249,44.1250
2012,9,6,250,44.8750
2012,9,7,251,47.5000
2012,9,8,252,42.7083
2012,9,9,253,18.8750
2012,9,10,254,19.9583
2012,9,11,255,22.4583
2012,9,12,256,14.1250
2012,9,13,257,13.3333
2012,9,14,258,13.8333
2012,9,15,259,12.5417
2012,9,16,260,13.9167
2012,9,17,261,19.1429
2012,9,18,262,12.3636
2012,9,19,263,11.3750
2012,9,20,264,35.0833
2012,9,21,265,47.4167
2012,9,22,266,45.4583
2012,9,23,267,48.4583
2012,9,24,268,31.2917
2012,9,25,269,17.0417
2012,9,26,270,23.3333
2012,9,27,271,17.7826
2012,9,28,272,14.7917
2012,9,29,273,14.7917
2012,9,30,274,13.5833
2012,10,1,275,18.5000
2012,10,2,276,16.3750
2012,10,3,277,17.7083
2012,10,4,278,17.1250
2012,10,5,279,16.0000
2012,10,6,280,20.6250
2012,10,7,281,19.1250
2012,10,8,282,18.0417
2012,10,9,283,16.0417
2012,10,10,284,20.3750
2012,10,11,285,30.8750
2012,10,12,286,15.0833
2012,10,13,287,18.9583
2012,10,14,288,17.6667
2012,10,15,289,19.8333
2012,10,16,290,37.9583
2012,10,17,291,21.5417
2012,10,18,292,19.2500
2012,10,19,293,22.1364
2012,10,20,294,26.3333
2012,10,21,295,19.0417
2012,10,22,296,18.7083
2012,10,23,297,17.3913
2012,10,24,298,13.7500
2012,10,25,299,15.7083
2012,10,26,300,15.4545
2012,10,27,301,13.1250
2012,10,28,302,15.5417
2012,10,29,303,17.5833
2012,10,30,304,16.5000
2012,10,31,305,15.6667
2012,11,1,306,18.3333
2012,11,2,307,18.0833
2012,11,3,308,12.9524
2012,11,4,309,11.2273
2012,11,5,310,9.4348
2012,11,6,311,11.6667
2012,11,7,312,14.0833
2012,11,8,313,14.0417
2012,11,9,314,14.5000
2012,11,10,315,17.7917
2012,11,11,316,13.3750
2012,11,12,317,17.2500
2012,11,13,318,16.8750
2012,11,14,319,18.8333
2012,11,15,320,16.9167
2012,11,16,321,11.5000
2012,11,17,322,13.7917
2012,11,18,323,15.2083
2012,11,19,324,15.6842
2012,11,20,325,14.4000
