#year,month,day,julian_day,pm10
2006,9,14,257,16
2006,9,15,258,79
2006,9,18,261,29
2006,9,20,263,9
2006,9,21,264,14
2006,9,22,265,15
2006,9,23,266,10
2006,9,27,270,17
2006,9,30,273,20
2006,10,1,274,13
2006,10,3,276,15
2006,10,4,277,11
2006,10,5,278,21
2006,10,6,279,24
2006,10,8,281,39
2006,10,10,283,32
2006,10,11,284,13
2006,10,20,293,20
2006,10,22,295,9
2006,10,23,296,22
2006,10,24,297,20
2006,10,25,298,8
2006,10,26,299,6
2006,10,29,302,28
2006,11,2,306,10
2006,11,3,307,12
2006,11,4,308,6
2006,11,6,310,15
2006,11,7,311,18
2006,11,8,312,15
2006,11,9,313,13
2006,11,10,314,11
2006,11,11,315,11
2006,11,12,316,5
2006,11,13,317,7
2006,11,14,318,11
2006,11,15,319,8
2006,11,16,320,5
2006,11,17,321,7
2006,11,18,322,7
2006,11,19,323,6
2006,11,20,324,13
2006,11,21,325,33
2006,11,22,326,16
2006,11,24,328,16
2006,11,25,329,11
2006,11,26,330,9
2006,11,27,331,6
2006,12,2,336,27
2006,12,3,337,17
2006,12,8,342,30
2006,12,10,344,24
2006,12,11,345,22
2006,12,12,346,22
2006,12,13,347,17
2006,12,14,348,18
2006,12,15,349,14
2006,12,18,352,16
2006,12,19,353,17
2006,12,20,354,19
2012,9,6,250,44
2012,9,7,251,48
2012,9,8,252,47
2012,9,9,253,18
2012,9,10,254,26
2012,9,11,255,27
2012,9,12,256,9
2012,9,13,257,10
2012,9,14,258,15
2012,9,15,259,9
2012,9,16,260,18
2012,9,17,261,23
2012,9,18,262,7
2012,9,19,263,11
2012,9,20,264,32
2012,9,21,265,60
2012,9,22,266,47
2012,9,24,268,36
2012,9,25,269,16
2012,9,26,270,15
2012,9,27,271,9
2012,9,28,272,14
2012,9,29,273,15
2012,9,30,274,11
2012,10,1,275,19
2012,10,2,276,18
2012,10,5,279,13
2012,10,6,280,18
2012,10,7,281,32
2012,10,8,282,12
2012,10,9,283,21
2012,10,10,284,16
2012,10,15,289,22
2012,10,16,290,41
2012,10,17,291,26
2012,10,18,292,16
2012,10,19,293,22
2012,10,20,294,30
2012,10,21,295,11
2012,10,22,296,14
2012,10,23,297,12
2012,10,24,298,13
2012,10,25,299,15
2012,10,26,300,14
2012,10,27,301,12
2012,10,28,302,15
2012,10,29,303,22
2012,10,30,304,12
2012,10,31,305,15
2012,11,1,306,13
2012,11,2,307,19
2012,11,3,308,9
2012,11,4,309,12
2012,11,5,310,9
2012,11,6,311,12
2012,11,7,312,16
2012,11,8,313,12
2012,11,9,314,12
2012,11,10,315,23
2012,11,11,316,10
2012,11,13,318,8
2012,11,14,319,19
2012,11,15,320,18
2012,11,16,321,9
2012,11,17,322,11
2012,11,18,323,16
2012,11,19,324,12
2012,11,20,325,15
2012,11,22,327,39
2012,11,23,328,29
2012,11,24,329,36
2012,11,25,330,39
2012,11,26,331,52
2012,11,27,332,54
2012,11,28,333,61
2012,11,29,334,43
2012,11,30,335,57
2012,12,1,336,41
2012,12,2,337,13
2012,12,9,344,17
2012,12,10,345,23
2012,12,11,346,50
2012,12,12,347,58
2012,12,14,349,129
