#year,month,day,julian_day,heure,pm10
2005,1,1,1,1,30
2005,1,1,1,2,36
2005,1,1,1,3,7
2005,1,1,1,4,15
2005,1,1,1,5,8
2005,1,1,1,6,19
2005,1,1,1,7,26
2005,1,1,1,8,35
2005,1,1,1,9,17
2005,1,1,1,10,3
2005,1,1,1,11,5
2005,1,1,1,12,14
2005,1,1,1,13,28
2005,1,1,1,14,2
2005,1,1,1,15,10
2005,1,1,1,16,4
2005,1,1,1,17,5
2005,1,1,1,18,9
2005,1,1,1,19,7
2005,1,1,1,20,11
2005,1,1,1,21,11
2005,1,1,1,22,4
2005,1,1,1,23,3
2005,1,2,2,0,9
2005,1,2,2,1,10
2005,1,2,2,2,2
2005,1,2,2,3,8
2005,1,2,2,4,23
2005,1,2,2,5,11
2005,1,2,2,6,8
2005,1,2,2,7,7
2005,1,2,2,8,11
2005,1,2,2,9,12
2005,1,2,2,10,25
2005,1,2,2,11,7
2005,1,2,2,13,12
2005,1,2,2,14,4
2005,1,2,2,15,16
2005,1,2,2,16,12
2005,1,2,2,17,13
2005,1,2,2,18,7
2005,1,2,2,19,10
2005,1,2,2,20,8
2005,1,2,2,21,6
2005,1,2,2,22,8
2005,1,2,2,23,19
2005,1,3,3,0,4
2005,1,3,3,1,12
2005,1,3,3,2,3
2005,1,3,3,3,12
2005,1,3,3,4,8
2005,1,3,3,5,8
2005,1,3,3,6,7
2005,1,3,3,7,8
2005,1,3,3,8,15
2005,1,3,3,9,12
2005,1,3,3,10,10
2005,1,3,3,11,22
2005,1,3,3,12,23
2005,1,3,3,13,20
2005,1,3,3,14,31
2005,1,3,3,15,17
2005,1,3,3,16,25
2005,1,3,3,17,16
2005,1,3,3,18,24
2005,1,3,3,19,13
2005,1,3,3,20,27
2005,1,3,3,21,19
2005,1,3,3,22,12
2005,1,3,3,23,14
2005,1,4,4,0,23
2005,1,4,4,1,17
2005,1,4,4,2,33
2005,1,4,4,3,13
2005,1,4,4,4,3
2005,1,4,4,5,9
2005,1,4,4,6,17
2005,1,4,4,7,10
2005,1,4,4,8,57
2005,1,4,4,9,54
2005,1,4,4,10,8
2005,1,4,4,11,5
2005,1,4,4,12,15
2005,1,4,4,13,12
2005,1,4,4,14,23
2005,1,4,4,15,18
2005,1,4,4,16,12
2005,1,4,4,17,23
2005,1,4,4,18,23
2005,1,4,4,19,22
2005,1,4,4,20,17
2005,1,4,4,21,9
2005,1,4,4,22,5
2005,1,4,4,23,17
2005,1,5,5,0,13
2005,1,5,5,1,5
2005,1,5,5,2,10
2005,1,5,5,3,11
2005,1,5,5,4,8
2005,1,5,5,5,9
2005,1,5,5,6,3
2005,1,5,5,7,8
2005,1,5,5,8,44
2005,1,5,5,9,65
2005,1,5,5,10,25
2005,1,5,5,11,10
2005,1,5,5,12,66
2005,1,5,5,13,20
2005,1,5,5,14,14
2005,1,5,5,15,8
2005,1,5,5,16,21
2005,1,5,5,17,11
2005,1,5,5,18,18
2005,1,5,5,19,9
2005,1,5,5,20,19
2005,1,5,5,21,15
2005,1,5,5,22,4
2005,1,5,5,23,7
2005,1,6,6,0,9
2005,1,6,6,1,14
2005,1,6,6,2,4
2005,1,6,6,3,8
2005,1,6,6,4,11
2005,1,6,6,5,9
