#year,month,day,julian_day,heure,pm10
2009,5,1,121,0,15
2009,5,1,121,1,16
2009,5,1,121,2,11
2009,5,1,121,3,11
2009,5,1,121,4,7
2009,5,1,121,5,9
2009,5,1,121,6,8
2009,5,1,121,7,16
2009,5,1,121,8,11
2009,5,1,121,9,16
2009,5,1,121,10,12
2009,5,1,121,11,17
2009,5,1,121,12,18
2009,5,1,121,13,15
2009,5,1,121,14,20
2009,5,1,121,15,18
2009,5,1,121,16,11
2009,5,1,121,17,9
2009,5,1,121,18,11
2009,5,1,121,19,13
2009,5,1,121,20,15
2009,5,1,121,21,19
2009,5,1,121,22,21
2009,5,1,121,23,21
2009,5,2,122,0,21
2009,5,2,122,1,26
2009,5,2,122,2,25
2009,5,2,122,3,21
2009,5,2,122,4,21
2009,5,2,122,5,21
2009,5,2,122,6,22
2009,5,2,122,7,25
2009,5,2,122,8,24
2009,5,2,122,9,24
2009,5,2,122,10,24
2009,5,2,122,11,25
2009,5,2,122,12,30
2009,5,2,122,13,23
2009,5,2,122,14,20
2009,5,2,122,15,18
2009,5,2,122,16,22
2009,5,2,122,17,14
2009,5,2,122,18,17
2009,5,2,122,19,20
2009,5,2,122,20,27
2009,5,2,122,21,34
2009,5,2,122,22,32
2009,5,2,122,23,32
2009,5,3,123,0,34
2009,5,3,123,1,23
2009,5,3,123,2,31
2009,5,3,123,3,26
2009,5,3,123,4,20
2009,5,3,123,5,22
2009,5,3,123,6,19
2009,5,3,123,7,27
2009,5,3,123,8,17
2009,5,3,123,9,14
2009,5,3,123,10,10
2009,5,3,123,11,11
2009,5,3,123,12,12
2009,5,3,123,13,20
2009,5,3,123,14,13
2009,5,3,123,15,15
2009,5,3,123,16,20
2009,5,3,123,17,13
2009,5,3,123,18,11
2009,5,3,123,19,17
2009,5,3,123,20,9
2009,5,3,123,21,12
2009,5,3,123,22,17
2009,5,3,123,23,18
2009,5,4,124,0,11
2009,5,4,124,1,18
2009,5,4,124,2,11
2009,5,4,124,3,14
2009,5,4,124,4,19
2009,5,4,124,5,17
2009,5,4,124,6,13
2009,5,4,124,7,22
2009,5,4,124,8,35
2009,5,4,124,9,41
2009,5,4,124,10,38
2009,5,4,124,11,33
2009,5,4,124,12,37
2009,5,4,124,13,44
2009,5,4,124,14,65
2009,5,4,124,15,14
2009,5,4,124,16,9
2009,5,4,124,17,20
2009,5,4,124,18,12
2009,5,4,124,19,12
2009,5,4,124,20,7
2009,5,4,124,21,11
2009,5,4,124,22,9
2009,5,4,124,23,9
2009,5,5,125,0,7
2009,5,5,125,1,5
2009,5,5,125,2,8
2009,5,5,125,3,7
2009,5,5,125,4,8
2009,5,5,125,5,9
2009,5,5,125,6,11
2009,5,5,125,7,13
2009,5,5,125,8,17
2009,5,5,125,9,23
2009,5,5,125,10,13
2009,5,5,125,11,17
2009,5,5,125,12,21
2009,5,5,125,13,31
2009,5,5,125,14,26
2009,5,5,125,15,28
2009,5,5,125,16,16
2009,5,5,125,17,18
2009,5,5,125,18,21
2009,5,5,125,19,26
2009,5,5,125,20,27
2009,5,5,125,21,25
2009,5,5,125,22,25
2009,5,5,125,23,22
2009,5,6,126,0,18
2009,5,6,126,1,17
2009,5,6,126,2,22
2009,5,6,126,3,20
2009,5,6,126,4,23
2009,5,6,126,5,26
2009,5,6,126,6,22
2009,5,6,126,7,26
2009,5,6,126,8,33
2009,5,6,126,9,26
2009,5,6,126,10,23
2009,5,6,126,11,26
2009,5,6,126,12,25
2009,5,6,126,13,26
2009,5,6,126,14,26
2009,5,6,126,15,27
2009,5,6,126,16,21
2009,5,6,126,17,27
2009,5,6,126,18,23
2009,5,6,126,19,26
2009,5,6,126,20,29
2009,5,6,126,21,28
2009,5,6,126,22,26
2009,5,6,126,23,23
2009,5,7,127,0,24
2009,5,7,127,1,21
2009,5,7,127,2,20
2009,5,7,127,3,23
2009,5,7,127,4,22
2009,5,7,127,5,20
2009,5,7,127,6,23
