#date,julian_day,pm10
2012-01-01,1,18.7083
2012-01-02,2,20.7917
2012-01-03,3,23.7083
2012-01-04,4,18.2083
2012-01-05,5,17.3750
2012-01-06,6,19.7083
2012-01-07,7,15.7500
2012-01-08,8,14.1667
2012-01-09,9,15.0833
2012-01-10,10,16.8182
2012-01-11,11,14.7500
2012-01-12,12,17.9167
2012-01-13,13,20.0833
2012-01-14,14,19.0417
2012-01-15,15,19.2500
2012-01-16,16,17.4583
2012-01-17,17,14.0417
2012-01-18,18,18.3750
2012-01-19,19,26.0417
2012-01-20,20,21.9167
2012-01-21,21,18.0417
2012-01-22,22,14.8333
2012-01-23,23,16.7917
2012-01-24,24,15.8333
2012-01-25,25,17.0000
2012-01-26,26,14.5000
2012-01-27,27,14.9167
2012-01-28,28,17.2500
2012-01-29,29,17.8750
2012-01-30,30,19.2500
2012-01-31,31,16.4583
2012-02-01,32,17.2500
2012-02-02,33,20.5833
2012-02-03,34,20.7083
2012-02-04,35,18.0417
2012-02-05,36,17.4583
2012-02-06,37,21.1667
2012-02-07,38,20.9167
2012-02-08,39,20.5000
2012-02-09,40,17.4583
2012-02-10,41,61.7917
2012-02-11,42,29.4583
2012-02-12,43,16.7917
2012-02-13,44,15.7083
2012-02-14,45,15.7083
2012-02-15,46,22.2917
2012-02-16,47,21.9167
2012-02-17,48,23.6250
2012-02-18,49,16.2500
2012-02-19,50,15.3333
2012-02-20,51,18.3750
2012-02-21,52,13.5000
2012-02-22,53,11.9583
2012-02-23,54,17.1667
2012-02-24,55,17.7917
2012-02-25,56,18.0417
2012-02-26,57,21.6667
2012-02-27,58,19.6667
2012-02-28,59,18.5833
2012-02-29,60,20.2917
2012-03-01,61,17.4583
2012-03-02,62,19.6250
2012-03-03,63,15.3333
2012-03-04,64,17.8750
2012-03-05,65,19.6667
2012-03-06,66,28.7500
2012-03-07,67,54.1667
2012-03-08,68,24.2500
2012-03-09,69,22.2500
2012-03-10,70,21.3333
2012-03-11,71,20.3750
2012-03-12,72,16.7917
2012-03-13,73,16.8750
2012-03-14,74,16.2083
2012-03-15,75,18.0000
2012-03-16,76,34.2917
2012-03-17,77,43.1250
2012-03-18,78,34.5417
2012-03-19,79,40.0000
2012-03-20,80,36.5000
2012-03-21,81,27.4783
2012-03-22,82,25.7083
2012-03-23,83,22.6667
2012-03-24,84,34.4167
2012-03-25,85,70.0000
2012-03-26,86,68.3750
2012-03-27,87,58.0000
2012-03-28,88,81.2083
2012-03-29,89,60.3333
2012-03-30,90,25.7083
2012-03-31,91,18.6667
2012-04-01,92,18.0833
2012-04-02,93,11.4583
2012-04-03,94,14.3333
2012-04-04,95,13.8696
2012-04-05,96,13.8750
2012-04-06,97,14.3333
2012-04-07,98,15.2500
2012-04-08,99,13.7917
2012-04-09,100,17.1250
2012-04-10,101,15.3750
2012-04-11,102,17.2083
2012-04-12,103,18.4167
2012-04-13,104,17.1250
2012-04-14,105,14.2500
2012-04-15,106,12.7083
2012-04-16,107,20.1667
2012-04-17,108,19.1667
2012-04-18,109,16.2083
2012-04-19,110,9.8333
2012-04-20,111,10.7083
2012-04-21,112,12.6250
2012-04-22,113,12.3333
2012-04-23,114,17.2500
2012-04-24,115,14.1429
2012-04-25,116,17.5000
2012-04-26,117,14.2917
2012-04-27,118,15.0417
2012-04-28,119,14.6667
2012-04-29,120,16.3750
2012-04-30,121,18.5417
2012-05-01,122,15.7917
2012-05-02,123,18.8333
2012-05-03,124,24.8750
2012-05-04,125,14.0000
2012-05-05,126,14.3333
2012-05-06,127,9.9167
2012-05-07,128,8.0000
2012-05-08,129,14.7917
2012-05-09,130,16.9130
2012-05-10,131,56.3077
2012-05-11,132,72.9167
2012-05-12,133,81.5417
2012-05-13,134,48.9167
2012-05-14,135,22.0833
2012-05-15,136,15.5417
2012-05-16,137,18.4167
2012-05-17,138,14.5000
2012-05-18,139,38.1250
2012-05-19,140,24.3333
2012-05-20,141,31.2917
2012-05-21,142,38.0000
2012-05-22,143,44.2083
2012-05-23,144,48.0833
2012-05-24,145,29.7083
2012-05-25,146,20.8750
2012-05-26,147,16.8750
2012-05-27,148,12.1667
2012-05-28,149,29.1250
2012-05-29,150,44.7917
2012-05-30,151,82.5417
2012-05-31,152,57.3333
2012-06-01,153,71.9167
2012-06-02,154,82.4583
2012-06-03,155,64.2083
2012-06-04,156,71.6250
2012-06-05,157,29.2917
2012-06-06,158,31.7500
2012-06-07,159,46.6364
2012-06-08,160,39.8750
2012-06-09,161,24.7500
2012-06-10,162,36.5833
2012-06-11,163,46.7500
2012-06-12,164,61.1250
2012-06-13,165,44.5000
2012-06-14,166,44.5417
2012-06-15,167,38.5652
2012-06-16,168,57.5417
2012-06-17,169,51.7500
2012-06-18,170,39.9167
2012-06-19,171,25.3333
2012-06-21,173,56.8571
2012-06-22,174,54.5417
2012-06-23,175,21.0000
2012-06-24,176,20.5833
2012-06-25,177,29.5417
2012-06-26,178,56.0833
2012-06-27,179,67.6667
2012-06-28,180,35.2083
2012-06-29,181,30.7917
2012-06-30,182,30.8333
2012-07-01,183,74.4167
2012-07-02,184,92.2083
2012-07-03,185,60.3333
2012-07-04,186,52.5833
2012-07-05,187,63.0417
2012-07-06,188,51.2083
2012-07-07,189,20.2500
2012-07-08,190,12.2083
2012-07-09,191,39.6667
2012-07-10,192,69.4167
2012-07-11,193,45.4167
2012-07-12,194,21.4167
2012-07-13,195,13.1250
2012-07-14,196,51.5000
2012-07-15,197,40.7500
2012-07-16,198,48.5417
2012-07-17,199,24.2917
2012-07-18,200,13.0833
2012-07-19,201,36.7500
2012-07-20,202,61.0667
2012-07-23,205,43.0833
2012-07-24,206,60.3333
2012-07-25,207,52.7083
2012-07-26,208,50.2083
2012-07-27,209,34.8750
2012-07-28,210,22.8333
2012-07-29,211,44.2083
2012-07-30,212,15.7083
2012-07-31,213,28.1667
2012-08-01,214,34.7083
2012-08-02,215,32.1250
2012-08-03,216,21.3750
2012-08-04,217,38.7500
2012-08-05,218,37.9167
2012-08-06,219,30.2500
2012-08-07,220,34.2083
2012-08-08,221,43.4583
2012-08-09,222,42.9583
2012-08-10,223,61.0417
